START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,8.53,8.53,4,9.15,9.15,2,8.74,8.74,3,8.90,8.90,5,9.30,9.30,6,9.44,9.44,2017-2018,ISU Shanghai Trophy 2017,1500m,w,Heats,1
3,12.06,20.59,4,11.67,20.82,2,11.78,20.52,1,11.56,20.46,5,11.66,20.96,6,11.64,21.08,2017-2018,ISU Shanghai Trophy 2017,1500m,w,Heats,1
3,11.33,31.92,4,11.26,32.08,2,11.30,31.82,1,11.22,31.68,6,11.21,32.17,5,11.01,32.09,2017-2018,ISU Shanghai Trophy 2017,1500m,w,Heats,1
1,10.74,42.66,5,11.06,43.14,3,11.07,42.89,2,11.12,42.80,6,11.08,43.25,4,10.93,43.02,2017-2018,ISU Shanghai Trophy 2017,1500m,w,Heats,1
2,10.86,53.52,5,10.76,53.90,1,10.62,53.51,3,10.78,53.58,6,10.78,54.03,4,10.75,53.77,2017-2018,ISU Shanghai Trophy 2017,1500m,w,Heats,1
1,10.07,1:03.59,5,10.16,1:04.06,2,10.11,1:03.62,3,10.27,1:03.85,6,10.14,1:04.17,4,10.19,1:03.96,2017-2018,ISU Shanghai Trophy 2017,1500m,w,Heats,1
1,10.12,1:13.71,5,10.07,1:14.13,2,10.12,1:13.74,3,10.00,1:13.85,6,10.08,1:14.25,4,10.06,1:14.02,2017-2018,ISU Shanghai Trophy 2017,1500m,w,Heats,1
2,9.79,1:23.50,5,9.81,1:23.94,1,9.63,1:23.37,3,9.78,1:23.63,6,9.79,1:24.04,4,9.79,1:23.81,2017-2018,ISU Shanghai Trophy 2017,1500m,w,Heats,1
2,9.87,1:33.37,5,9.71,1:33.65,1,9.87,1:33.24,3,9.81,1:33.44,6,9.71,1:33.75,4,9.73,1:33.54,2017-2018,ISU Shanghai Trophy 2017,1500m,w,Heats,1
1,9.80,1:43.17,5,9.81,1:43.46,2,10.02,1:43.26,4,9.90,1:43.34,6,9.85,1:43.60,3,9.79,1:43.33,2017-2018,ISU Shanghai Trophy 2017,1500m,w,Heats,1
6,10.54,1:53.71,1,9.83,1:53.29,2,10.25,1:53.51,5,10.33,1:53.67,3,9.95,1:53.55,4,10.25,1:53.58,2017-2018,ISU Shanghai Trophy 2017,1500m,w,Heats,1
6,10.57,2:04.28,1,9.77,2:03.06,5,10.52,2:04.03,4,10.31,2:03.98,2,9.74,2:03.29,3,9.96,2:03.54,2017-2018,ISU Shanghai Trophy 2017,1500m,w,Heats,1
5,10.42,2:14.70,1,9.74,2:12.80,6,10.71,2:14.74,4,10.33,2:14.31,2,9.60,2:12.89,3,9.90,2:13.44,2017-2018,ISU Shanghai Trophy 2017,1500m,w,Heats,1
5,10.75,2:25.427,1,9.69,2:22.465,6,11.13,2:25.853,4,10.83,2:25.124,2,9.69,2:22.574,3,10.24,2:23.663,2017-2018,ISU Shanghai Trophy 2017,1500m,w,Heats,1
