START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,13.05,13.05,1,12.75,12.75,5,13.64,,3,13.18,13.18,4,13.45,13.45,6,13.85,13.85,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Rep.Quarterfinals,4
2,18.32,31.37,1,18.42,31.17,6,18.26,,3,18.35,31.53,4,18.27,31.72,5,17.91,31.76,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Rep.Quarterfinals,4
1,15.87,47.24,2,16.11,47.28,3,15.46,,3,15.83,47.36,6,16.11,47.83,5,15.90,47.66,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Rep.Quarterfinals,4
3,12.41,59.65,5,12.61,59.89,1,12.21,,4,12.42,59.78,2,11.81,59.64,6,12.41,1:00.07,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Rep.Quarterfinals,4
5,11.72,1:11.37,1,11.22,1:11.11,2,11.55,,4,11.49,1:11.27,3,11.60,1:11.24,6,11.44,1:11.51,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Rep.Quarterfinals,4
5,10.54,1:21.91,1,10.48,1:21.59,2,10.55,,3,10.47,1:21.74,4,10.61,1:21.85,6,10.52,1:22.03,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Rep.Quarterfinals,4
2,9.61,1:31.52,1,9.90,1:31.49,3,9.91,,4,9.97,1:31.71,5,9.99,1:31.84,6,9.94,1:31.97,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Rep.Quarterfinals,4
1,9.12,1:40.64,2,9.26,1:40.75,3,9.26,,4,9.17,1:40.88,5,9.20,1:41.04,6,9.22,1:41.19,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Rep.Quarterfinals,4
1,9.29,1:49.93,6,9.67,1:50.42,4,9.37,,2,9.19,1:50.07,3,9.15,1:50.19,5,9.19,1:50.38,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Rep.Quarterfinals,4
1,9.05,1:58.98,6,9.36,1:59.78,4,9.11,,2,9.00,1:59.07,3,9.01,1:59.20,5,9.18,1:59.56,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Rep.Quarterfinals,4
1,8.97,2:07.95,6,9.53,2:09.31,4,8.90,,2,8.93,2:08.00,3,8.92,2:08.12,5,9.53,2:09.09,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Rep.Quarterfinals,4
1,9.01,2:16.96,6,9.87,2:19.18,4,9.15,,2,9.10,2:17.10,3,9.06,2:17.18,5,10.03,2:19.12,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Rep.Quarterfinals,4
1,9.22,2:26.18,5,10.27,2:29.45,4,9.43,,2,9.30,2:26.40,3,9.35,2:26.53,6,10.48,2:29.60,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Rep.Quarterfinals,4
1,9.50,2:35.684,4,10.63,2:40.083,4,9.98,,2,9.62,2:36.029,3,9.66,2:36.198,5,11.06,2:40.668,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(1),m,Rep.Quarterfinals,4
