START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,11.89,11.89,3,12.37,12.37,4,12.68,12.68,2,12.07,12.07,6,13.10,13.10,5,12.89,12.89,2015-2016,ISU European Short Track Speed Skating Championships® 2016,1500m,w,Semifinals,2
1,18.01,29.90,3,17.89,30.26,4,17.92,30.60,2,17.98,30.05,6,17.84,30.94,5,17.87,30.76,2015-2016,ISU European Short Track Speed Skating Championships® 2016,1500m,w,Semifinals,2
1,16.51,46.41,3,16.53,46.79,4,16.43,47.03,2,16.52,46.57,6,16.48,47.42,5,16.48,47.24,2015-2016,ISU European Short Track Speed Skating Championships® 2016,1500m,w,Semifinals,2
1,15.35,1:01.76,4,15.28,1:02.07,5,15.29,1:02.32,2,15.32,1:01.89,6,14.95,1:02.37,3,14.69,1:01.93,2015-2016,ISU European Short Track Speed Skating Championships® 2016,1500m,w,Semifinals,2
4,12.20,1:13.96,5,11.92,1:13.99,6,11.91,1:14.23,3,12.00,1:13.89,1,11.38,1:13.75,2,11.90,1:13.83,2015-2016,ISU European Short Track Speed Skating Championships® 2016,1500m,w,Semifinals,2
5,11.07,1:25.03,4,10.91,1:24.90,6,10.95,1:25.18,3,10.87,1:24.76,1,10.82,1:24.57,2,10.82,1:24.65,2015-2016,ISU European Short Track Speed Skating Championships® 2016,1500m,w,Semifinals,2
6,10.26,1:35.29,4,10.27,1:35.17,5,10.07,1:35.25,3,10.37,1:35.13,1,10.42,1:34.99,2,10.41,1:35.06,2015-2016,ISU European Short Track Speed Skating Championships® 2016,1500m,w,Semifinals,2
6,9.88,1:45.17,3,9.71,1:44.88,4,9.69,1:44.94,5,9.91,1:45.04,1,9.77,1:44.76,2,9.78,1:44.84,2015-2016,ISU European Short Track Speed Skating Championships® 2016,1500m,w,Semifinals,2
6,9.67,1:54.84,1,9.61,1:54.49,4,9.74,1:54.68,5,9.71,1:54.75,2,9.76,1:54.52,3,9.76,1:54.60,2015-2016,ISU European Short Track Speed Skating Championships® 2016,1500m,w,Semifinals,2
4,9.94,2:04.78,1,9.89,2:04.38,5,10.13,2:04.81,6,10.12,2:04.87,3,10.06,2:04.58,2,9.97,2:04.57,2015-2016,ISU European Short Track Speed Skating Championships® 2016,1500m,w,Semifinals,2
2,9.27,2:14.05,3,9.74,2:14.12,5,9.69,2:14.50,6,9.81,2:14.68,4,9.79,2:14.37,1,9.15,2:13.72,2015-2016,ISU European Short Track Speed Skating Championships® 2016,1500m,w,Semifinals,2
2,9.13,2:23.18,3,9.86,2:23.98,3,9.48,2:23.98,6,9.48,2:24.16,5,9.77,2:24.14,1,9.15,2:22.87,2015-2016,ISU European Short Track Speed Skating Championships® 2016,1500m,w,Semifinals,2
2,9.48,2:32.66,4,10.19,2:34.17,3,9.81,2:33.79,5,10.10,2:34.26,6,10.13,2:34.27,1,9.33,2:32.20,2015-2016,ISU European Short Track Speed Skating Championships® 2016,1500m,w,Semifinals,2
2,9.90,2:42.56,5,10.34,2:44.484,3,10.32,2:44.11,4,10.06,2:44.32,6,10.91,2:45.161,1,9.68,2:41.88,2015-2016,ISU European Short Track Speed Skating Championships® 2016,1500m,w,Semifinals,2
