START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,season,competition,event,gender,round,race
3,12.20,12.20,1,11.89,11.89,4,12.35,12.35,2,11.96,,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),2000mRelay,x,Quarterfinals,2
3,8.82,21.02,1,8.90,20.79,4,8.82,21.17,2,8.95,,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),2000mRelay,x,Quarterfinals,2
3,8.94,29.96,1,8.89,29.68,4,8.91,30.08,2,8.91,,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),2000mRelay,x,Quarterfinals,2
3,8.76,38.72,1,8.80,38.48,4,8.76,38.84,2,8.77,,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),2000mRelay,x,Quarterfinals,2
2,8.82,47.54,1,8.85,47.33,4,8.83,47.67,2,8.95,,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),2000mRelay,x,Quarterfinals,2
2,8.63,56.17,1,8.67,56.00,3,8.71,56.38,4,9.53,,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),2000mRelay,x,Quarterfinals,2
1,8.18,1:04.35,2,8.40,1:04.40,3,8.32,1:04.70,4,20.07,,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),2000mRelay,x,Quarterfinals,2
1,8.48,1:12.83,2,8.51,1:12.91,3,8.30,1:13.00,4,8.76,,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),2000mRelay,x,Quarterfinals,2
1,8.52,1:21.35,2,8.53,1:21.44,3,8.53,1:21.53,4,8.63,,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),2000mRelay,x,Quarterfinals,2
1,8.67,1:30.02,2,8.64,1:30.08,3,8.66,1:30.19,4,8.62,,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),2000mRelay,x,Quarterfinals,2
1,8.71,1:38.73,2,8.85,1:38.93,3,9.01,1:39.20,4,8.73,,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),2000mRelay,x,Quarterfinals,2
1,8.85,1:47.58,2,8.85,1:47.78,3,9.05,1:48.25,4,9.30,,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),2000mRelay,x,Quarterfinals,2
1,9.11,1:56.69,2,8.98,1:56.76,3,9.07,1:57.32,4,9.58,,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),2000mRelay,x,Quarterfinals,2
2,9.29,2:05.98,1,9.13,2:05.89,3,8.97,2:06.29,4,9.53,,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),2000mRelay,x,Quarterfinals,2
2,8.83,2:14.81,1,8.84,2:14.73,3,8.75,2:15.04,4,9.06,,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),2000mRelay,x,Quarterfinals,2
1,8.48,2:23.29,2,8.61,2:23.34,3,8.48,2:23.52,4,9.20,,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),2000mRelay,x,Quarterfinals,2
1,8.40,2:31.69,2,8.42,2:31.76,3,8.38,2:31.90,4,9.02,,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),2000mRelay,x,Quarterfinals,2
0,8.42,2:40.11,0,8.35,2:40.11,3,8.32,2:40.22,4,9.49,,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),2000mRelay,x,Quarterfinals,2
