START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,8.26,8.26,4,8.57,8.57,2,8.35,8.35,3,8.36,8.36,5,8.72,8.72,6,8.81,8.81,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Semifinals,2
1,13.13,21.39,4,13.12,21.69,3,13.22,21.57,2,13.13,21.49,5,13.04,21.76,6,13.00,21.81,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Semifinals,2
1,13.42,34.81,5,13.48,35.17,2,13.24,34.81,3,13.45,34.94,4,13.34,35.10,6,13.41,35.22,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Semifinals,2
2,12.22,47.03,5,12.27,47.44,1,11.97,46.78,3,12.22,47.16,4,12.16,47.26,6,12.37,47.59,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Semifinals,2
2,11.28,58.31,3,11.07,58.51,1,11.37,58.15,6,13.89,1:01.05,4,11.47,58.73,5,11.20,58.79,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Semifinals,2
3,10.50,1:08.81,4,10.48,1:08.99,1,10.56,1:08.71,6,9.63,1:10.68,2,10.05,1:08.78,5,10.31,1:09.10,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Semifinals,2
1,9.96,1:18.77,4,10.17,1:19.16,3,10.30,1:19.01,6,9.06,1:19.74,2,10.08,1:18.86,5,10.17,1:19.27,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Semifinals,2
2,9.68,1:28.45,4,9.51,1:28.67,3,9.55,1:28.56,6,9.24,1:28.98,1,9.46,1:28.32,5,9.50,1:28.77,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Semifinals,2
2,9.46,1:37.91,4,9.44,1:38.11,3,9.44,1:38.00,6,9.31,1:38.29,1,9.47,1:37.79,5,9.41,1:38.18,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Semifinals,2
2,9.13,1:47.04,4,9.14,1:47.25,3,9.09,1:47.09,6,9.16,1:47.45,1,9.14,1:46.93,5,9.16,1:47.34,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Semifinals,2
2,9.27,1:56.31,4,9.08,1:56.33,1,9.20,1:56.29,6,9.21,1:56.66,3,9.38,1:56.31,5,9.12,1:56.46,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Semifinals,2
1,9.33,2:05.64,6,21.48,2:17.81,2,9.65,2:05.94,3,9.50,2:06.16,5,11.38,2:07.69,4,9.88,2:06.34,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Semifinals,2
1,9.48,2:15.12,6,17.17,2:34.98,2,9.31,2:15.25,3,9.74,2:15.90,5,11.47,2:19.16,4,9.64,2:15.98,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Semifinals,2
0,,PEN,5,13.31,2:48.289,1,9.45,2:24.694,3,9.97,2:25.866,4,11.97,2:31.127,2,9.83,2:25.807,2010-2011,"2011 ISU European Championships, NED, Heerenveen",1500m,m,Semifinals,2
