START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,8.24,8.24,3,8.52,8.52,5,8.85,8.85,2,8.36,8.36,6,9.00,9.00,4,8.67,8.67,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,3
1,11.15,19.39,3,11.07,19.59,5,11.01,19.86,2,11.13,19.49,6,10.88,19.88,4,11.06,19.73,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,3
1,10.69,30.08,3,10.67,30.26,6,10.75,30.61,2,10.68,30.17,5,10.64,30.52,4,10.66,30.39,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,3
1,10.91,40.99,3,10.91,41.17,6,10.89,41.50,2,10.90,41.07,5,10.84,41.36,4,10.80,41.19,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,3
1,10.86,51.85,3,10.87,52.04,6,10.86,52.36,2,10.89,51.96,5,10.79,52.15,4,10.96,52.15,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,3
3,10.87,1:02.72,4,10.77,1:02.81,2,10.32,1:02.68,1,10.63,1:02.59,6,10.75,1:02.90,5,10.67,1:02.82,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,3
4,10.25,1:12.97,6,10.46,1:13.27,2,10.19,1:12.87,1,10.20,1:12.79,5,10.21,1:13.11,3,10.12,1:12.94,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,3
4,10.84,1:23.81,6,10.77,1:24.04,2,10.75,1:23.62,1,10.74,1:23.53,5,10.84,1:23.95,3,10.78,1:23.72,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,3
4,10.78,1:34.59,6,10.82,1:34.86,1,10.57,1:34.19,3,10.78,1:34.31,5,10.73,1:34.68,2,10.56,1:34.28,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,3
3,10.14,1:44.73,4,10.15,1:45.01,1,10.09,1:44.28,6,18.91,1:53.22,2,9.99,1:44.67,5,10.95,1:45.23,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,3
4,10.57,1:55.30,3,10.18,1:55.19,1,10.15,1:54.43,6,16.12,2:09.34,2,9.83,1:54.50,5,10.60,1:55.83,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,3
5,10.98,2:06.28,3,10.26,2:05.45,1,10.16,2:04.59,6,12.86,2:22.20,2,10.18,2:04.68,4,9.68,2:05.51,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,3
5,11.79,2:18.07,4,10.66,2:16.11,1,10.19,2:14.78,6,12.74,2:34.94,2,10.11,2:14.79,3,9.53,2:15.04,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,3
5,12.04,2:30.105,4,11.19,2:27.297,2,10.05,2:24.830,0,,PEN,1,9.96,2:24.746,3,9.99,2:25.024,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,3
