START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
3,8.388,8.388,1,8.283,8.283,2,8.356,8.356,5,8.705,8.705,4,8.631,8.631,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,8
4,10.481,18.868,1,9.948,18.230,2,10.138,18.493,3,9.974,18.678,5,10.440,19.071,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,8
4,9.714,28.582,1,9.914,28.144,2,9.752,28.244,3,9.807,28.485,5,9.866,28.936,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,8
4,10.082,38.663,1,10.191,38.335,3,10.265,38.509,2,9.947,38.432,5,10.067,39.003,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,8
4,10.611,49.274,2,10.725,49.059,1,10.550,49.058,3,10.833,49.264,5,10.571,49.573,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,8
3,10.686,59.959,1,10.688,59.747,2,10.724,59.782,4,10.697,59.961,5,10.745,1:00.318,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,8
3,10.685,1:10.644,2,10.850,1:10.596,1,10.700,1:10.481,4,10.821,1:10.781,5,10.818,1:11.135,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,8
2,9.962,1:20.606,4,10.362,1:20.958,1,10.065,1:20.546,3,9.905,1:20.686,5,10.176,1:21.311,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,8
1,9.439,1:30.044,4,9.726,1:30.684,2,9.698,1:30.244,3,9.735,1:30.420,5,10.534,1:31.844,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,8
1,9.914,1:39.958,4,9.719,1:40.403,2,9.796,1:40.040,3,9.771,1:40.191,5,10.684,1:42.528,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,8
1,10.090,1:50.047,4,10.162,1:50.565,3,10.280,1:50.319,2,10.061,1:50.251,5,11.095,1:53.622,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,8
1,10.006,2:00.053,4,10.225,2:00.789,3,9.836,2:00.154,2,9.886,2:00.137,5,11.471,2:05.093,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,8
2,9.975,2:10.028,4,10.586,2:11.374,1,9.751,2:09.905,3,10.092,2:10.228,5,11.982,2:17.075,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,8
2,9.97,2:19.996,4,11.10,2:22.465,1,10.03,2:19.928,3,9.96,2:20.182,5,12.50,2:29.575,2003-2004,"2004 European Championships, Netherlands",1500M,m,Heats,8
