START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,9.09,9.09,4,9.23,9.23,2,8.96,8.96,5,9.25,9.25,6,9.50,9.50,1,8.65,8.65,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,RepSemifinals,1
3,11.09,20.18,4,11.02,20.25,2,11.11,20.07,5,11.11,20.36,6,11.12,20.62,1,11.24,19.89,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,RepSemifinals,1
3,10.93,31.11,4,10.96,31.21,2,10.94,31.01,5,10.97,31.33,6,10.86,31.48,1,11.03,30.92,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,RepSemifinals,1
3,11.07,42.18,4,11.07,42.28,2,11.05,42.06,5,11.05,42.38,6,11.02,42.50,1,11.02,41.94,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,RepSemifinals,1
3,11.07,53.25,4,11.06,53.34,2,11.09,53.15,5,11.07,53.45,6,11.07,53.57,1,11.13,53.07,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,RepSemifinals,1
3,11.01,1:04.26,4,11.00,1:04.34,1,10.88,1:04.03,5,10.99,1:04.44,6,11.00,1:04.57,2,11.08,1:04.15,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,RepSemifinals,1
3,10.87,1:15.13,4,10.87,1:15.21,1,10.90,1:14.93,5,10.87,1:15.31,6,10.82,1:15.39,2,10.88,1:15.03,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,RepSemifinals,1
3,10.90,1:26.03,4,10.90,1:26.11,1,10.88,1:25.81,5,10.89,1:26.20,6,10.92,1:26.31,2,10.90,1:25.93,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,RepSemifinals,1
4,10.65,1:36.68,6,10.65,1:36.76,1,10.65,1:36.46,2,10.37,1:36.57,5,10.39,1:36.70,3,10.67,1:36.60,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,RepSemifinals,1
5,10.40,1:47.08,6,10.44,1:47.20,3,10.37,1:46.83,1,9.85,1:46.42,2,9.82,1:46.52,4,10.34,1:46.94,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,RepSemifinals,1
6,10.35,1:57.43,5,10.13,1:57.33,3,10.36,1:57.19,1,9.96,1:56.38,2,9.98,1:56.50,4,10.38,1:57.32,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,RepSemifinals,1
4,10.31,2:07.74,5,10.47,2:07.80,3,10.51,2:07.70,1,10.10,2:06.48,2,10.08,2:06.58,6,10.69,2:08.01,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,RepSemifinals,1
3,10.14,2:17.88,5,10.74,2:18.54,4,10.73,2:18.43,2,10.24,2:16.72,1,10.12,2:16.70,6,10.68,2:18.69,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,RepSemifinals,1
3,10.76,2:28.632,4,10.82,2:29.358,5,11.13,2:29.553,2,10.42,2:27.136,1,10.03,2:26.723,6,10.94,2:29.629,2011-2012,"ISU World Cup 2011/2012, RUS, Moscow",1500m(1),w,RepSemifinals,1
