race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,202,CANADA,7312,CAN,4:16.224,Q
0,2,3,,206,JAPAN,7304,JPN,4:16.963,Q
0,3,2,,205,ITALY,7317,ITA,4:17.124,q
1,1,3,,211,UNITEDSTATES,7316,USA,4:21.406,Q
1,2,4,,201,BULGARIA,7335,BUL,4:22.382,Q
1,3,1,,208,NETHERLANDS,7322,NED,4:23.852,q
1,4,2,,210,RUSSIA,7315,RUS,4:33.575,
2,1,2,,209,KOREA,7314,KOR,4:17.629,Q
2,2,1,,203,CHINA,7311,CHN,4:18.322,Q
2,3,4,,204,FRANCE,7354,FRA,4:32.573,
2,4,3,,207,KAZAKHSTAN,7355,KAZ,4:38.173,
