race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,6,,5,SemenELISTRATOV,7293,RUS,2:13.308,QA
0,2,8,,170,RENZiwei,8601,CHN,2:13.871,QA
0,3,3,,24,PatrickDUFFY,7917,CAN,2:14.093,QB
0,4,1,,88,AYRAPETYANDenis,8098,RUS,2:14.636,QB
0,5,7,,57,CHENGuang,8387,CHN,2:14.690,
0,6,4,,62,NAVARROTristan,8559,FRA,2:15.153,
0,7,2,,59,YoshiakiOGURO,7743,JPN,2:16.622,
0,8,5,,141,AdwinSNELLINK,7935,NED,2:16.792,
1,1,5,,164,PARKJiWon,8765,KOR,2:21.508,QA
1,2,7,,163,KIMJoonChun,9006,KOR,2:21.642,QA
1,3,2,,21,CONFORTOLAYuri,6561,ITA,2:21.687,QB
1,4,4,,153,ANIKEJRafal,8749,POL,2:21.965,QB
1,5,6,,54,ColeKRUEGER,7762,USA,2:21.985,
1,6,3,,33,PierreBODA,7588,AUS,2:22.530,
1,7,1,,4,HAMELINCharles,6610,CAN,notime,
2,1,5,,45,KWAKYoon-Gy,6120,KOR,2:17.589,QA
2,2,1,,8,HANTianyu,8388,CHN,2:17.647,QA
2,3,6,,150,DIONPascal,8999,CAN,2:17.775,QB
2,4,7,,177,TRANAaron,8528,USA,2:19.813,QB
2,5,4,,37,MaksimSIARHEYU,7771,BLR,2:20.665,
2,6,3,,167,MurrayCOCHRANE,7927,GBR,2:20.827,
2,PEN,2,,64,BYKANOVVladislav,6178,ISR,PEN,
