race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,4,,180,ANKai,9168,CHN,2:20.244,Q
0,2,2,,12,NIKISHADenis,8396,KAZ,2:20.445,
0,3,5,,91,FERCOQQuentin,8605,FRA,2:21.108,
0,4,1,,14,LEPAPESebastien,7554,FRA,2:22.198,
0,5,6,,162,FiratYARDIMCI,8520,TUR,2:22.424,
0,6,7,,50,TSANGKeiWingKelvin,7735,HKG,2:35.168,
0,DNF,3,,169,ClementFLORAC,8732,FRA,DNF,
1,1,1,,8,SEOYiRa,7940,KOR,2:16.834,Q
1,2,3,,43,DOTTITommaso,7604,ITA,2:17.321,
1,3,5,,10,SHIJingnan,7728,CHN,2:17.400,
1,4,4,,116,BLUNDENKeanu,8593,AUS,2:17.894,
1,5,2,,170,TomRIETZKE,8563,GER,2:19.457,
1,6,6,,33,ZacharyBIGGS,8635,NZL,2:40.316,
1,PEN,7,,124,AlexBRYANT,8577,AUS,PEN,
