race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,2,,402,CHINA,7311,CHN,3:00.824,Q,
0,2,3,,415,UNITEDSTATES,7316,USA,3:02.192,Q,
0,3,1,,409,NETHERLANDS,7322,NED,3:08.562,,
1,1,2,,411,KOREA,7314,KOR,3:02.862,Q,
1,2,1,,412,RUSSIA,7315,RUS,3:03.720,Q,
1,3,4,,406,ITALY,7317,ITA,3:06.139,,
1,4,3,,407,ISRAEL,7330,ISR,3:14.794,,
2,1,3,,401,CANADA,7312,CAN,3:03.000,Q,
2,2,1,,408,JAPAN,7304,JPN,3:04.067,Q,
2,3,4,,413,SLOVAKIA,7333,SVK,3:08.315,,
2,4,2,,414,UKRAINE,7334,UKR,3:20.767,,
3,1,4,,405,HUNGARY,7323,HUN,2:59.659,Q,
3,2,2,,403,GERMANY,7313,GER,2:59.994,Q,
3,3,3,,404,GREATBRITAIN,7331,GBR,3:04.395,,
3,4,1,,410,POLAND,7332,POL,3:08.991,,
