race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,3,,153,CONFORTOLAYuri,6561,ITA,2:32.437,Q,
0,2,4,,150,BYKANOVVladislav,6178,ISR,2:32.547,Q,
0,3,1,,140,PaulHERRMANN,6803,GER,2:32.772,,
0,4,2,,164,AdamFILIPOWICZ,6156,POL,2:32.870,,
0,5,5,,169,IstvanGALORAVECZ,7753,ROU,2:34.480,,
1,1,4,,171,SemenELISTRATOV,7293,RUS,2:22.539,Q,
1,2,2,,135,RichardSHOEBRIDGE,7825,GBR,2:22.755,Q,
1,3,5,,102,MatthiasSTELZMUELLER,7181,AUT,2:25.025,,
1,4,3,,186,SerhiyLIFYRENKO,6826,UKR,2:25.296,,
1,5,6,,129,AlvaroPENA,7791,ESP,2:29.288,,
1,6,1,,151,SergeiKUDRIA,7603,ISR,2:31.396,,
2,1,4,,130,MaximeCHATAIGNIER,6106,FRA,2:26.886,Q,
2,2,6,,173,EvgeniiKOZULIN,7272,RUS,2:26.986,Q,
2,3,5,,117,TsvetanTSANKOV,7431,BUL,2:27.729,,
2,4,1,,181,SelimTANRIKULU,7760,TUR,2:28.644,,
2,5,2,,120,JakovDOMITREK,7145,CRO,2:31.992,,
2,6,3,,127,LasseWILMS,8340,DEN,2:33.870,,
3,1,6,,142,RobertSEIFERT,6176,GER,2:17.539,Q,
3,2,1,,116,KirilPANDOV,6779,BUL,2:22.117,Q,
3,3,3,,167,BartoszKONOPKO,7169,POL,2:24.875,ADV,
3,4,2,,101,DeclanHISCOX,7886,AUT,2:25.967,,
3,5,4,,176,DenisBRKIC,8342,SRB,,,
3,PEN,5,,157,RobertoPUKITIS,7785,LAT,PEN,,
4,1,5,,138,JackWHELBOURNE,7437,GBR,2:32.999,Q,
4,2,4,,172,VladimirGRIGOREV,7826,RUS,2:33.106,Q,
4,3,6,,125,VojtechLOUDIN,7597,CZE,2:33.332,,
4,4,3,,147,ShaolinSandorLIU,7928,HUN,2:39.026,,
4,5,2,,128,JonathanLOPEZ,7892,ESP,2:39.690,,
4,6,1,,177,DusanSTAMENKOVIC,8343,SRB,2:56.676,,
5,2,3,,133,JeremyMASSON,6173,FRA,2:27.871,Q,
5,3,2,,182,MyukerremTOP,7786,TUR,2:32.257,,
5,4,5,,109,NihadBASIC,7889,BIH,3:07.778,,
5,PEN,1,,103,TimothyDEWISPELAERE,7590,BEL,PEN,,
6,1,3,,131,ThibautFAUCONNET,6785,FRA,2:23.027,Q,
6,2,2,,144,BenceBERES,7438,HUN,2:23.902,Q,
6,3,1,,111,AliaksandrANTANENKA,6850,BLR,2:24.088,,
6,4,5,,121,DarkoSMOGAR,8339,CRO,2:43.453,,
6,PEN,4,,158,SAULITISJekabs,7267,LAT,PEN,,
7,1,1,,160,NielsKERSTHOLT,7067,NED,2:21.338,Q,
7,2,5,,154,DOTTITommaso,7604,ITA,2:22.592,Q,
7,3,4,,165,JakubJAWORSKI,6816,POL,2:23.043,,
7,4,2,,106,MathiasVOSTE,7888,BEL,2:23.608,,
7,5,6,,170,EmilIMRE,7943,ROU,2:35.347,,
7,6,3,,123,MilosAPELTAUER,7896,CZE,,,
8,1,4,,162,FreekvanderWART,7269,NED,2:20.978,Q,
8,2,5,,134,JonELEY,6592,GBR,2:21.454,Q,
8,3,3,,184,IevgenGUTENOV,7178,UKR,2:23.128,,
8,4,1,,112,YauheniRYZHOU,7772,BLR,2:47.962,,
8,5,2,,178,JoseCAVALLI,7756,SUI,,,
