race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,1,,144,MaximeCHATAIGNIER,6106,FRA,1:27.378,Q,
0,2,4,,137,LIANGWenhao,7594,CHN,1:27.489,Q,
0,3,2,,163,NicolaRODIGARI,6332,ITA,1:27.563,q,
0,4,3,,192,JordanMALONE,6201,USA,1:44.778,,
1,1,2,,172,KWAKYoon-Gy,6120,KOR,1:28.146,Q,
1,2,4,,167,YumaSAKURAI,6182,JPN,1:30.120,Q,
1,3,3,,150,PaulHERRMANN,6803,GER,1:43.779,ADV,
1,DQ,1,,193,TravisJAYNER,6300,USA,DQ,,
2,1,2,,136,HANJialiang,6168,CHN,1:27.303,Q,
2,2,1,,133,Francois-LouisTREMBLAY,6704,CAN,1:27.495,Q,
2,3,4,,191,J.R.CELSKI,7279,USA,1:27.515,q,
2,4,3,,178,NielsKERSTHOLT,7067,NED,1:27.923,,
3,1,4,,171,SUNGSi-Bak,6811,KOR,1:24.789,Q,
3,2,3,,175,HaraldsSILOVS,6458,LAT,1:25.272,Q,
3,3,2,,168,AydarBEKZHANOV,7623,KAZ,1:25.634,q,
3,4,1,,122,PieterGYSEL,6425,BEL,1:28.594,,
4,1,2,,131,HAMELINCharles,6610,CAN,1:27.068,Q,
4,3,4,,166,TakahiroFUJIMOTO,6277,JPN,1:27.677,,
4,4,3,,177,KNEGTSjinkie,7352,NED,1:27.690,,
5,1,1,,132,FrancoisHAMELIN,6167,CAN,1:26.335,Q,
5,2,3,,143,ThibautFAUCONNET,6785,FRA,1:26.415,Q,
5,3,2,,151,TysonHEUNG,6240,GER,1:26.487,q,
5,4,4,,160,CONFORTOLAYuri,6561,ITA,1:26.740,,
