race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
0,2,1,,707,HUNGARY,7323,HUN,4:22.691,Q
0,PEN,3,,715,UNITEDSTATES,7316,USA,PEN,
1,1,1,,708,ITALY,7317,ITA,4:13.469,Q
1,2,4,,711,NETHERLANDS,7322,NED,4:13.500,Q
1,3,2,,706,GERMANY,7313,GER,4:16.745,
1,4,3,,702,BULGARIA,7335,BUL,4:29.985,
2,1,1,,704,CHINA,7311,CHN,4:10.980,Q
2,2,2,,709,JAPAN,7304,JPN,4:18.722,Q
2,3,4,,712,POLAND,7332,POL,4:21.239,
2,4,3,,701,BELARUS,7479,BLR,4:36.416,
3,1,4,,703,CANADA,7312,CAN,4:15.629,Q
3,2,3,,713,RUSSIA,7315,RUS,4:18.025,Q
3,3,1,,705,GREATBRITAIN,7331,GBR,4:29.136,
3,4,2,,714,UKRAINE,7334,UKR,4:43.809,
