race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,2,,411,GREATBRITAIN,9171,GBR,4:16.177,Q
0,2,4,,406,CANADA,9049,CAN,4:19.209,Q
0,3,1,,426,RUSSIA,9046,RUS,4:21.230,
0,4,3,,404,BULGARIA,9057,BUL,4:23.354,
1,1,1,,422,NETHERLANDS,9040,NED,4:08.331,Q
1,2,3,,415,ITALY,9039,ITA,4:08.463,Q
1,3,2,,429,UNITEDSTATES,9045,USA,4:09.548,
2,1,2,,408,CHINA,9048,CHN,4:07.491,Q
2,2,1,,414,HUNGARY,9043,HUN,4:09.486,Q
2,3,3,,424,POLAND,9041,POL,4:17.644,
3,2,1,,410,FRANCE,9042,FRA,4:12.034,Q
3,3,2,,418,JAPAN,9047,JPN,4:12.802,
