race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,4,,310,HUNGARY,9021,HUN,6:53.269,Q,
0,2,1,,307,GERMANY,9020,GER,6:57.315,Q,
0,3,2,,323,UKRAINE,9031,UKR,7:09.299,q,
0,YC,3,,305,FRANCE,9018,FRA,YC,,
1,1,1,,319,RUSSIA,9029,RUS,6:58.019,Q,
1,PEN,3,,314,LATVIA,9034,LAT,PEN,,
1,PEN,2,,317,POLAND,9028,POL,PEN,,
2,1,2,,315,NETHERLANDS,9027,NED,6:50.621,Q,
2,2,4,,312,ITALY,9023,ITA,6:52.044,Q,
2,3,3,,309,GREATBRITAIN,9019,GBR,7:04.006,q,
2,PEN,1,,321,TURKEY,9030,TUR,PEN,,
