race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,2,,402,RUSSIA,9029,RUS,6:49.264,Q
0,2,1,,404,KOREA,9026,KOR,6:49.317,Q
0,3,3,,419,LATVIA,9034,LAT,6:59.849,
0,4,5,,413,AUSTRALIA,9012,AUS,7:23.411,
0,PEN,4,,406,JAPAN,9024,JPN,PEN,
1,1,1,,412,CANADA,9016,CAN,6:47.972,Q
1,2,2,,411,CHINA,9022,CHN,6:49.596,Q
1,3,4,,416,BELGIUM,9013,BEL,6:50.979,
1,4,3,,409,GREATBRITAIN,9019,GBR,6:51.070,
2,1,1,,403,NETHERLANDS,9027,NED,6:40.949,Q
2,2,4,,414,FRANCE,9018,FRA,6:47.624,Q
2,3,5,,418,BELARUS,9014,BLR,6:58.650,
2,4,2,,405,KAZAKHSTAN,9025,KAZ,7:08.500,
2,5,3,,417,BULGARIA,9015,BUL,7:14.058,
3,2,4,,407,ITALY,9023,ITA,6:55.394,Q
3,3,3,,408,GERMANY,9020,GER,6:59.293,
3,4,5,,415,POLAND,9028,POL,7:01.669,
3,5,1,,410,UNITEDSTATES,9032,USA,7:01.679,
