race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,2,,220,KOREA,7300,KOR,6:57.279,Q
0,2,3,,221,NETHERLANDS,7321,NED,7:08.085,Q
0,3,1,,219,KAZAKHSTAN,7356,KAZ,7:24.172,
0,DQ,4,,217,ITALY,7301,ITA,DQ,
1,2,2,,218,JAPAN,7310,JPN,7:06.732,Q
1,3,1,,222,RUSSIA,7307,RUS,7:07.083,
2,1,1,,212,CHINA,7303,CHN,6:51.422,Q
2,2,3,,215,GREATBRITAIN,7320,GBR,6:55.356,Q
2,3,4,,223,UKRAINE,7308,UKR,7:04.327,
2,4,2,,210,BULGARIA,7392,BUL,7:16.362,
3,1,1,,214,GERMANY,7302,GER,6:58.305,Q
3,2,2,,224,UNITEDSTATES,7306,USA,7:05.660,Q
3,3,4,,216,HUNGARY,7324,HUN,7:13.434,
3,DQ,3,,213,FRANCE,7319,FRA,DQ,
