race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,5,,58,HWANGDaeHeon,9115,KOR,41.899,Q
0,2,4,,19,WATANABEKeita,7605,JPN,41.967,Q
0,3,1,,21,NIKISHADenis,8396,KAZ,42.049,
0,4,3,,16,RENZiwei,8601,CHN,42.121,
0,5,2,,30,JUNGHyunWoo(Andy),8575,AUS,43.506,
1,1,4,,6,WUDajing,7729,CHN,41.174,Q
1,2,2,,3,SamuelGIRARD,8600,CAN,41.197,Q
1,3,1,,44,John-HenryKRUEGER,7763,USA,41.318,
1,4,3,,20,RyosukeSAKAZUME,7542,JPN,41.395,
1,5,5,,13,J.R.CELSKI,7279,USA,notime,
2,1,2,,10,ShaolinSandorLIU,7928,HUN,41.251,Q
2,2,3,,18,HOOGERWERFDylan,8497,NED,41.313,Q
2,3,4,,2,KNEGTSjinkie,7352,NED,41.314,
2,4,5,,41,NurbergenZHUMAGAZIYEV,7349,KAZ,41.619,
2,5,1,,8,HAMELINCharles,6610,CAN,41.644,
3,1,1,,189,LIMHyoJun,9324,KOR,41.046,Q
3,2,2,,76,AZHGALIYEVAbzal,7685,KAZ,41.568,Q
3,3,4,,183,CsabaBURJAN,7738,HUN,41.872,
3,4,5,,124,BartoszKONOPKO,7169,POL,44.332,
3,5,3,,70,XUHongzhi,8070,CHN,57.285,
