race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,6,,108,JamieMACDONALD,8997,CAN,1:32.419,QA
0,2,1,,22,PetraJASZAPATI,8611,HUN,1:32.493,QA
0,3,4,,30,vanKERKHOFYara,7422,NED,1:32.714,QB
0,4,2,,27,WALTERBianca,7232,GER,1:32.809,QB
0,5,3,,129,TatianaBORODULINA,7483,RUS,notime,
0,5,5,,32,KimberlyGOETZ,8649,USA,notime,ADA
1,1,6,,11,MarianneST-GELAIS,7216,CAN,1:32.362,QA
1,2,2,,9,TAOJiaying,8667,CHN,1:32.748,QA
1,3,4,,45,GUOYihan,8364,CHN,1:33.739,QB
1,4,5,,44,ValerieMALTAIS,6216,CAN,1:34.091,QB
1,5,1,,15,PIERRONVeronique,6196,FRA,1:38.414,
1,PEN,3,,122,AyukoITO,6791,JPN,PEN,
