race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,3,,183,KAZAKHSTAN,7356,KAZ,4:13.188,Q,
0,2,2,,189,UNITEDSTATES,7306,USA,4:16.938,Q,
0,3,1,,188,UKRAINE,7308,UKR,4:22.975,,
0,PEN,4,,176,CHINA,7303,CHN,PEN,,
1,1,3,,184,KOREA,7300,KOR,4:13.532,Q,
1,2,2,,182,JAPAN,7310,JPN,4:15.675,Q,
1,3,1,,180,HUNGARY,7324,HUN,4:20.112,,
1,4,4,,178,GERMANY,7302,GER,4:29.828,,
2,1,3,,177,FRANCE,7319,FRA,4:12.522,Q,
2,2,2,,179,GREATBRITAIN,7320,GBR,4:16.578,Q,
2,3,4,,185,NETHERLANDS,7321,NED,4:19.104,,
2,4,1,,174,AUSTRALIA,7843,AUS,4:19.552,,
3,1,4,,175,CANADA,7309,CAN,4:17.504,Q,
3,2,2,,186,POLAND,7326,POL,4:18.064,Q,
3,3,3,,187,RUSSIA,7307,RUS,4:20.039,,
3,4,1,,181,ITALY,7301,ITA,4:42.852,,
