race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,1,,,FabioCARTA,6001,ITA,1:30.787,,
0,2,2,,,YUANYe,6657,CHN,1:30.863,,
0,3,4,,,BrunoLOSCOS,6643,FRA,1:30.901,,
0,4,3,,,MatthewJASPER,7093,GBR,1:33.109,,
1,1,1,,,MarcGAGNON,6701,CAN,1:29.400,,
1,2,4,,,MicheleANTONIOLI,6330,ITA,1:29.666,,
1,3,3,,,DaveVERSTEEG,6540,NED,1:30.432,,
1,DQ,2,,,CHAEJi-Hoon,6902,KOR,DQ,,
2,1,1,,,SatoruTERAO,6320,JPN,1:39.735,,
2,2,3,,,NicolaFRANCESCHINA,6331,ITA,1:40.120,,
2,3,4,,,RichardGOERLITZ,6063,AUS,1:40.628,,
2,DNS,2,,,LEEJun-Hwan,6743,KOR,DNS,,
3,1,2,,,EricBEDARD,6703,CAN,1:30.239,,
3,2,1,,,KIMDong-Sung,6944,KOR,1:30.814,,
3,3,3,,,NaoyaTAMURA,6322,JPN,1:30.826,,
3,4,5,,,IVLIEVAlexei,6994,RUS,1:35.649,,
3,5,4,,,RustySMITH,6496,USA,1:43.965,,
