race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,3,WUDajing,7729,CHN,40.898,Q
0,2,3,,18,LEPAPESebastien,7554,FRA,41.191,Q
0,3,4,,173,ChrisCREVELING,8440,USA,41.858,
0,4,2,,30,NIKISHADenis,8396,KAZ,1:05.864,
1,1,2,,27,DmitryMIGUNOV,7755,RUS,41.076,Q
1,2,1,,148,CharleCOURNOYER,8063,CAN,41.146,Q
1,3,3,,1,KNEGTSjinkie,7352,NED,41.178,q
1,4,4,,171,BartoszKONOPKO,7169,POL,41.425,
2,1,1,,6,ShaolinSandorLIU,7928,HUN,41.175,Q
2,2,3,,22,John-HenryKRUEGER,7763,USA,41.406,Q
2,3,2,,63,EYBOGDaniil,8661,RUS,41.738,q
2,4,4,,85,RichardSHOEBRIDGE,7825,GBR,41.809,
3,1,2,,20,FreekvanderWART,7269,NED,41.540,Q
3,2,3,,14,ViktorKNOCH,6177,HUN,41.820,Q
3,3,1,,116,FrancoisHAMELIN,6167,CAN,41.944,
3,4,4,,49,LEEJungSu,7266,KOR,42.911,
4,1,2,,7,SHIJingnan,7728,CHN,41.303,Q
4,2,4,,2,PARKSeYeong,7750,KOR,42.362,Q
4,3,1,,48,ShaoangLIU,8564,HUN,notime,ADV
4,PEN,3,,161,AydarBEKZHANOV,7623,KAZ,PEN,
5,1,1,,19,SamuelGIRARD,8600,CAN,41.511,Q
5,2,5,,168,MAWei,8728,CHN,41.635,Q
5,3,4,,15,HirokiYOKOYAMA,7932,JPN,43.334,
5,4,3,,131,ArtemKOZLOV,8638,RUS,1:04.056,
5,5,2,,12,BREEUWSMADaan,7218,NED,1:23.788,
