season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,1,1,6,,57,HirokiYOKOYAMA,7932,JPN,2:24.057,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,1,2,2,,3,PierreBODA,7588,AUS,2:24.406,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,1,3,1,,93,ColeKRUEGER,7762,USA,2:24.640,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,1,4,3,,37,SCHUBERTChristoph,7734,GER,2:25.829,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,1,5,5,,54,FrancescoPALLA,7930,ITA,2:27.024,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,1,6,4,,42,JoshuaCHEETHAM,7925,GBR,2:27.996,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,2,1,2,,41,JackWHELBOURNE,7437,GBR,2:33.460,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,2,2,4,,28,BLACKBURNMackenzie,7434,TPE,2:34.462,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,2,3,7,,82,DmitryMIGUNOV,7755,RUS,2:35.021,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,2,4,5,,94,JamesRODOWSKY,7953,USA,2:35.527,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,2,5,1,,31,MilosAPELTAUER,7896,CZE,2:35.710,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,2,6,6,,85,BorisFRANKOVIC,7452,SVK,2:37.767,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,2,7,3,,21,AlexandreSTJEAN,7916,CAN,3:04.161,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,3,1,6,,76,LEEHyoBeen,7941,KOR,2:23.799,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,3,2,2,,22,PatrickDUFFY,7917,CAN,2:24.170,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,3,3,3,,26,LIUSongbo,7727,CHN,2:24.421,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,3,4,5,,32,AlesGORECKI,7912,CZE,2:25.626,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,3,5,4,,49,ShaolinSandorLIU,7928,HUN,2:25.628,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,3,PEN,1,,52,DOTTITommaso,7604,ITA,PEN,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,4,1,2,,25,WUDajing,7729,CHN,2:24.840,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,4,2,1,,55,WATANABEKeita,7605,JPN,2:25.012,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,4,3,6,,65,deLAATItzhak,7746,NED,2:25.188,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,4,4,4,,47,BenceBERES,7438,HUN,2:25.520,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,4,5,3,,84,TimurZAKHAROV,7945,RUS,2:25.813,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,4,PEN,5,,63,RobertoPUKITIS,7785,LAT,PEN,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,5,1,2,,74,JUNGJunHo,7939,KOR,2:26.325,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,5,2,4,,66,ChristiaanBOKKERINK,7611,NED,2:27.430,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,5,3,6,,20,Pier-OlivierGAGNON,7724,CAN,2:36.358,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,5,4,3,,24,SHIJingnan,7728,CHN,2:49.479,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,5,5,5,,51,CASSINELLIAndrea,7741,ITA,2:58.803,ADV,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,5,PEN,1,,92,John-HenryKRUEGER,7763,USA,PEN,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,6,2,6,,33,LEPAPESebastien,7554,FRA,2:17.753,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,6,3,2,,81,EmilKARNEEV,7754,RUS,2:20.579,Q,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,6,4,4,,11,TimothyDEWISPELAERE,7590,BEL,2:22.379,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,6,5,5,,45,LUIPanToBarton,7551,HKG,2:23.508,,
2010-2011,"2011 ISU World Junior Championships, ITA, Courmayeur",1500m,m,Quarterfinals,6,6,3,,71,DawidRZEMIENIECKI,7879,POL,2:26.065,,
