season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),500m(2),m,Rep.Quarterfinals,1,1,2,,186,EYBOGDaniil,8661,RUS,41.555,Q
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),500m(2),m,Rep.Quarterfinals,1,2,1,,176,DIONPascal,8999,CAN,41.611,Q
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),500m(2),m,Rep.Quarterfinals,1,3,3,,37,YauheniRYZHOU,7772,BLR,42.027,
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),500m(2),m,Rep.Quarterfinals,1,4,4,,174,AdamCALLISTER,7954,USA,42.468,
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),500m(2),m,Rep.Quarterfinals,2,1,2,,81,TREACYFarrell,8392,GBR,41.927,Q
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),500m(2),m,Rep.Quarterfinals,2,2,3,,154,SHAMUKHANOVYerkebulan,8672,KAZ,42.191,Q
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),500m(2),m,Rep.Quarterfinals,2,3,1,,45,ANIKEJRafal,8749,POL,42.428,
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),500m(2),m,Rep.Quarterfinals,2,4,4,,110,AlexVARNYU,8337,HUN,42.698,
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),500m(2),m,Rep.Quarterfinals,3,1,1,,14,LEPAPESebastien,7554,FRA,41.855,Q
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),500m(2),m,Rep.Quarterfinals,3,2,3,,73,YoshiakiOGURO,7743,JPN,42.048,Q
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),500m(2),m,Rep.Quarterfinals,3,3,4,,58,DanIWASA,8394,JPN,42.067,
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),500m(2),m,Rep.Quarterfinals,3,4,2,,162,FiratYARDIMCI,8520,TUR,42.477,
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),500m(2),m,Rep.Quarterfinals,4,1,3,,121,PaulBEAUCHAMP,8560,FRA,42.350,Q
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),500m(2),m,Rep.Quarterfinals,4,2,1,,171,KeiSAITO,8068,JPN,42.623,Q
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),500m(2),m,Rep.Quarterfinals,4,3,2,,159,SINdaWoon,8035,KOR,42.632,
2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),500m(2),m,Rep.Quarterfinals,4,4,4,,30,FelixSPIEGL,7923,GER,58.293,
