season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,1,1,1,,171,BartoszKONOPKO,7169,POL,41.839,Q
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,1,2,2,,28,KeithCARROLL,8449,USA,42.060,Q
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,1,3,4,,129,TsvetanTSANKOV,7431,BUL,43.437,
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,1,4,3,,115,ZacharyBIGGS,8635,NZL,43.715,
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,2,1,1,,85,RichardSHOEBRIDGE,7825,GBR,42.081,Q
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,2,2,4,,75,SatoshiSAKASHITA,6183,JPN,42.246,Q
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,2,3,3,,152,CHOEUnSong,9063,PRK,42.402,q
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,2,4,2,,41,SerhiyLIFYRENKO,6826,UKR,43.609,
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,3,1,3,,11,SEOYiRa,7940,KOR,42.996,Q
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,3,2,4,,158,FelixSPIEGL,7923,GER,43.014,Q
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,3,DNF,2,,15,HirokiYOKOYAMA,7932,JPN,DNF,
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,3,PEN,1,,146,AlexBRYANT,8577,AUS,PEN,
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,4,1,1,,173,ChrisCREVELING,8440,USA,42.828,Q
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,4,2,3,,74,CASSINELLIAndrea,7741,ITA,42.996,Q
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,4,3,4,,155,KAUFMANN-LUDWIGLeon,8391,GER,43.625,
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,4,4,2,,80,VincentJEANNE,7890,FRA,1:02.862,
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,5,1,4,,30,NIKISHADenis,8396,KAZ,41.885,Q
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,5,2,1,,86,PaulSTANLEY,7054,GBR,42.387,Q
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,5,3,2,,39,LucasNG,8067,SGP,44.567,
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,5,4,3,,135,DanielZASTRUGOV,7915,BUL,44.949,
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,6,1,4,,131,ArtemKOZLOV,8638,RUS,42.230,Q
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,6,2,1,,119,YauheniRYZHOU,7772,BLR,42.349,Q
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,6,3,3,,174,ArtemKHMELIVSKYI,7950,UKR,44.027,
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,6,4,2,,132,JasonCLAGUE,8636,NZL,notime,
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,7,1,1,,160,YOSHINAGAKazuki,8745,JPN,42.790,Q
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,7,2,4,,32,JUNGHyunWoo(Andy),8575,AUS,42.982,Q
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,7,3,2,,49,LEEJungSu,7266,KOR,43.107,q
2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),500m,m,Rep.Heats,7,4,3,,166,CHUSidneyK,9056,HKG,47.191,
