season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1000m,w,Quarterfinals,1,1,1,,55,MarijnWIERSMA,9274,NED,1:33.951,Q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1000m,w,Quarterfinals,1,2,3,,84,BINEYMaame,9144,USA,1:34.122,Q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1000m,w,Quarterfinals,1,3,4,,10,BLAISDanae,9090,CAN,1:34.845,,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1000m,w,Quarterfinals,1,4,2,,31,ElisaCONFORTOLA,9396,ITA,1:35.319,,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1000m,w,Quarterfinals,1,PEN,5,,63,YuliiaBERESNEVA,9415,RUS,PEN,,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1000m,w,Quarterfinals,2,1,2,,11,SARAULTCourtneyLee,9223,CAN,1:34.407,Q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1000m,w,Quarterfinals,2,2,5,,23,SelmaPOUTSMA,9004,FRA,1:34.464,Q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1000m,w,Quarterfinals,2,3,1,,36,WATANABEAoi,8744,JPN,1:34.540,q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1000m,w,Quarterfinals,2,4,3,,26,JACOBSGina,8607,GER,1:36.718,,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1000m,w,Quarterfinals,2,5,4,,29,SZILICZEI-NEMETRebeka,8737,HUN,notime,,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1000m,w,Quarterfinals,3,1,1,,28,PetraJASZAPATI,8611,HUN,1:32.615,Q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1000m,w,Quarterfinals,3,2,4,,35,KAMINAGAShione,8743,JPN,1:32.712,Q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1000m,w,Quarterfinals,3,3,2,,76,ErikaLINDGREN,9210,SWE,1:32.940,q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1000m,w,Quarterfinals,3,4,3,,80,UZAKOVAMariia-Mahdalyna,8759,UKR,1:35.414,,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1000m,w,Quarterfinals,3,5,6,,21,DAUDETGwendoline,9100,FRA,2:20.428,,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1000m,w,Quarterfinals,3,6,5,,27,BACSKAISaraLuca,8609,HUN,2:25.689,,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1000m,w,Quarterfinals,4,2,3,,85,GabriellaHACHEM,9142,USA,1:35.931,Q,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1000m,w,Quarterfinals,4,3,4,,67,AngelinaTARASOVA,9287,RUS,1:36.808,,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1000m,w,Quarterfinals,4,4,2,,59,STORMOWSKAKamila,9008,POL,1:54.415,,
2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1000m,w,Quarterfinals,4,PEN,1,,2,EvelienvanKERCKVOORDE,9216,BEL,PEN,,
