season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2016-2017,ISU European Short Track Speed Skating Championships 2017,500m,w,RankingFinals,1,1,2,,140,ErikaLINDGREN,9210,SWE,46.151,,
2016-2017,ISU European Short Track Speed Skating Championships 2017,500m,w,RankingFinals,1,2,4,,37,YAKIMOVAAnna,8702,BUL,46.541,,
2016-2017,ISU European Short Track Speed Skating Championships 2017,500m,w,RankingFinals,1,3,1,,98,UZAKOVAMariia-Mahdalyna,8759,UKR,46.723,,
2016-2017,ISU European Short Track Speed Skating Championships 2017,500m,w,RankingFinals,1,4,3,,36,DOLGOPOLOVAMariya,8096,UKR,47.733,,
2016-2017,ISU European Short Track Speed Skating Championships 2017,500m,w,RankingFinals,2,1,1,,32,AlicaPORUBSKA,8514,SVK,46.410,,
2016-2017,ISU European Short Track Speed Skating Championships 2017,500m,w,RankingFinals,2,2,3,,12,SEJPALOVA-HRUZOVAMichaela,8553,CZE,46.533,,
2016-2017,ISU European Short Track Speed Skating Championships 2017,500m,w,RankingFinals,2,3,4,,86,RanyaEZZI,6840,SWE,46.656,,
2016-2017,ISU European Short Track Speed Skating Championships 2017,500m,w,RankingFinals,2,4,2,,35,BURICKatarina,8550,CRO,47.074,,
2016-2017,ISU European Short Track Speed Skating Championships 2017,500m,w,RankingFinals,3,1,1,,31,HUOTMARCHANDTifany,7976,FRA,46.411,,
2016-2017,ISU European Short Track Speed Skating Championships 2017,500m,w,RankingFinals,3,2,2,,33,KaterinaNOVOTNA,6647,CZE,46.554,,
2016-2017,ISU European Short Track Speed Skating Championships 2017,500m,w,RankingFinals,3,3,3,,26,DESMETHanne,8699,BEL,46.598,,
2016-2017,ISU European Short Track Speed Skating Championships 2017,500m,w,RankingFinals,3,4,4,,139,SandraTRUSOVA,9134,SVK,46.989,,
