season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1000m(2),m,Quarterfinals,1,1,5,,103,HAMELINCharles,6610,CAN,1:26.258,Q
2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1000m(2),m,Quarterfinals,1,2,2,,153,NielsKERSTHOLT,7067,NED,1:26.436,Q
2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1000m(2),m,Quarterfinals,1,3,1,,139,YumaSAKURAI,6182,JPN,1:40.105,
2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1000m(2),m,Quarterfinals,1,4,4,,110,SONGWeilong,7156,CHN,1:49.923,
2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1000m(2),m,Quarterfinals,1,PEN,3,,145,AydarBEKZHANOV,7623,KAZ,PEN,
2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1000m(2),m,Quarterfinals,2,1,2,,170,TravisJAYNER,6300,USA,1:26.422,Q
2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1000m(2),m,Quarterfinals,2,2,3,,108,MaximeFORTIN,7137,CAN,1:26.507,Q
2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1000m(2),m,Quarterfinals,2,3,1,,138,YuzoTAKAMIDO,7158,JPN,1:26.535,
2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1000m(2),m,Quarterfinals,2,4,4,,163,RuslanZAKHAROV,6935,RUS,1:26.726,
2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1000m(2),m,Quarterfinals,3,1,2,,111,LIUXianwei,6307,CHN,1:27.717,Q
2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1000m(2),m,Quarterfinals,3,2,5,,107,GuillaumeBASTILLE,6166,CAN,1:27.736,Q
2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1000m(2),m,Quarterfinals,3,3,1,,129,JackWHELBOURNE,7437,GBR,1:42.329,ADV
2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1000m(2),m,Quarterfinals,3,4,3,,171,AnthonyLOBELLO,6958,USA,1:55.547,ADV
2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1000m(2),m,Quarterfinals,3,YC,4,YC,118,MaximeCHATAIGNIER,6106,FRA,YC,
2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1000m(2),m,Quarterfinals,4,2,1,,150,HaraldsSILOVS,6458,LAT,1:27.971,Q
2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1000m(2),m,Quarterfinals,4,3,2,,173,KyleCARR,6134,USA,1:27.973,
2010-2011,"ISU World Cup 2010/2011, CAN, Quebec City",1000m(2),m,Quarterfinals,4,4,4,,113,YUYongjun,7824,CHN,1:28.433,
