season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2005-2006,"2005 World Cup 1, China",1000M,m,QuarterFinals,1,2,1,,760,CeesJUFFERMANS,6072,NED,1:27.524,Q
2005-2006,"2005 World Cup 1, China",1000M,m,QuarterFinals,1,3,4,,719,LIJiajun,7095,CHN,1:27.702,ADV
2005-2006,"2005 World Cup 1, China",1000M,m,QuarterFinals,1,DQ,2,,716,EricBEDARD,6703,CAN,DQ,
2005-2006,"2005 World Cup 1, China",1000M,m,QuarterFinals,2,1,4,,748,RobertoSERRA,6463,ITA,1:29.020,Q
2005-2006,"2005 World Cup 1, China",1000M,m,QuarterFinals,2,2,1,,779,AlexanderGERTSIKOV,6570,RUS,1:29.935,Q
2005-2006,"2005 World Cup 1, China",1000M,m,QuarterFinals,2,3,3,,775,LEEHo-Suk,6856,KOR,1:51.382,ADV
2005-2006,"2005 World Cup 1, China",1000M,m,QuarterFinals,2,DQ,2,,714,Francois-LouisTREMBLAY,6704,CAN,DQ,
2005-2006,"2005 World Cup 1, China",1000M,m,QuarterFinals,3,1,3,,715,MathieuTURCOTTE,6705,CAN,1:29.721,Q
2005-2006,"2005 World Cup 1, China",1000M,m,QuarterFinals,3,2,1,,722,SUIBaoKu,6416,CHN,1:29.949,Q
2005-2006,"2005 World Cup 1, China",1000M,m,QuarterFinals,3,3,2,,750,TakahiroFUJIMOTO,6277,JPN,1:30.685,
2005-2006,"2005 World Cup 1, China",1000M,m,QuarterFinals,3,4,4,,764,DaveVERSTEEG,6540,NED,1:31.178,
2005-2006,"2005 World Cup 1, China",1000M,m,QuarterFinals,4,1,2,,793,JPKEPKA,6501,USA,1:27.714,Q
2005-2006,"2005 World Cup 1, China",1000M,m,QuarterFinals,4,2,1,,749,SatoruTERAO,6320,JPN,1:28.390,Q
2005-2006,"2005 World Cup 1, China",1000M,m,QuarterFinals,4,3,4,,720,LIYe,6655,CHN,1:29.445,ADV
2005-2006,"2005 World Cup 1, China",1000M,m,QuarterFinals,4,DQ,3,,773,SEOHo-Jin,6547,KOR,DQ,
