season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,1,1,1,,137,ThibautFAUCONNET,6785,FRA,1:30.764,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,1,2,3,,173,YuzoTAKAMIDO,7158,JPN,1:30.801,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,1,3,4,,165,BYKANOVVladislav,6178,ISR,1:31.179,q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,1,DNS,2,,110,ArtsiomPATUTKIN,7655,BLR,DNS,
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,2,1,4,,144,TysonHEUNG,6240,GER,1:31.450,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,2,2,1,,181,AydarBEKZHANOV,7623,KAZ,1:31.693,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,2,3,2,,229,BenjaminSTUTHRIDGE,7102,RSA,1:40.748,
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,2,DQ,3,,118,OlivierJEAN,6756,CAN,DQ,
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,3,1,2,,140,MaximeCHATAIGNIER,6106,FRA,1:31.505,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,3,2,3,,145,SebastianPRAUS,6364,GER,1:31.610,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,3,3,1,,204,BlakeSKJELLERUP,6549,NZL,1:31.729,q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,3,4,4,,196,BazarsadBATSUURI,7687,MGL,1:40.565,
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,4,2,2,,167,NicolasBEAN,7541,ITA,1:29.353,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,4,3,3,,218,OleksiyKOSHELENKO,7121,UKR,1:31.474,q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,5,1,3,,221,TravisJAYNER,6300,USA,1:28.829,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,5,2,2,,111,PieterGYSEL,6425,BEL,1:29.140,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,5,3,4,,104,NoahESSAGHIR,7430,AUS,1:30.991,q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,5,4,1,,112,EdinBRANKOVIC,7256,BIH,1:31.232,
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,6,1,3,,171,NicolaRODIGARI,6332,ITA,1:32.208,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,6,2,1,,198,NielsKERSTHOLT,7067,NED,1:32.456,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,6,3,2,,109,SiarheiYAKUSHKOU,6923,BLR,1:34.761,q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,6,4,4,,195,MunkhdoriGANTUMUR,7351,MGL,1:37.483,
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,7,1,1,,220,ApoloAntonOHNO,6497,USA,1:34.822,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,7,2,3,,186,SUNGSi-Bak,6811,KOR,1:34.970,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,7,3,4,,228,AndrejVALACH,6963,SVK,1:35.688,q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,7,4,2,,192,SAULITISJekabs,7267,LAT,1:36.194,
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,8,1,3,,189,KWAKYoon-Gy,6120,KOR,1:29.630,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,8,2,1,,139,JeanCharlesMATTEI,6057,FRA,1:31.306,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,8,3,4,,106,AndrePULEC,6054,AUT,1:33.498,q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,8,4,2,,133,IvanDOLINIC,6669,CRO,1:36.240,
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,9,1,1,,191,HaraldsSILOVS,6458,LAT,1:30.998,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,9,2,4,,101,JeremyBECK,7283,AUS,1:31.940,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,9,3,3,,205,MatthewFULLER,6448,NZL,1:33.231,q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,9,DNS,2,,163,SubodhBalavantPATIL,6241,IND,DNS,
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,10,1,1,,197,KNEGTSjinkie,7352,NED,1:38.586,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,10,2,4,,102,LachlanHAY,6845,AUS,1:39.161,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,10,3,3,,123,BLACKBURNMackenzie,7434,TPE,1:39.335,
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,10,4,2,,156,LUIPanToBarton,7551,HKG,1:40.112,
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,11,1,2,,176,FumihikoKAKUBARI,6024,JPN,1:31.633,Q
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,m,Races,11,2,4,,159,GaborGALAMBOS,6010,HUN,1:31.774,Q
