race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,5,KIMJiYoo,8764,KOR,2:30.299,QA
0,2,7,,18,PetraJASZAPATI,8611,HUN,2:30.522,QA
0,3,3,,48,HANYuTong,8365,CHN,2:30.585,QB
0,4,2,,45,ZHANGChutong,9452,CHN,2:31.125,QB
0,5,6,,21,HIRAIAmi,8618,JPN,2:31.140,qB
0,6,4,,140,GeneveBELANGER,8359,CAN,2:31.389,
0,7,5,,72,VIVIANIElena,7583,ITA,2:32.101,
1,1,3,,3,KimBOUTIN,8542,CAN,2:30.288,QA
1,3,6,,19,HUOTMARCHANDTifany,7976,FRA,2:31.221,QB
1,4,5,,10,DESMETHanne,8699,BEL,2:31.455,QB
1,5,4,,9,VALCEPINAMartina,7159,ITA,2:31.851,
1,6,2,,49,KONSTANTINOVAEkaterina,8510,RUS,2:33.752,
2,1,5,,129,KIMAlang,8484,KOR,2:27.210,QA
2,2,6,,131,SEOWhiMin,9263,KOR,2:27.263,QA
2,3,7,,77,BLAISDanae,9090,CAN,2:27.458,qA
2,4,1,,107,STODDARDCorinne,9464,USA,2:27.549,QB
2,5,4,,52,MALAGICHEmina,7989,RUS,2:27.567,qB
2,6,3,,94,TIKHONOVAOlga,8621,KAZ,2:28.145,
2,7,2,,32,SEJPALOVA-HRUZOVAMichaela,8553,CZE,2:28.247,
